"Name","State","Notes","User","Tags","Created","Runtime","Sweep","alpha","batch_size","epochs","learning_rate","lora_dropout","lora_plus","lora_plus_ratio","max_length","mode","model_name","num_labels","rank","run_name","target_modules","task","total_params","trainable_params","wandb_project","warmup_ratio","weight_decay","best_val_accuracy","epoch","gpu_memory_mb","train_loss","trainable_pct","val_accuracy"
"lora_r32_sst2","finished","-","","","2026-04-26T22:46:24.000Z","654","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","32","lora_r32_sst2","[""query"",""value""]","sst2","125826818","1771778","lora-replication","0.06","0.01","0.7511467889908257","3","518.80419921875","0.5410046218551536","1.4081084049983683","0.7511467889908257"
"lora_r16_sst2","finished","-","","","2026-04-26T22:35:07.000Z","653","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","16","lora_r16_sst2","[""query"",""value""]","sst2","125236994","1181954","lora-replication","0.06","0.01","0.7144495412844036","3","510.28662109375","0.547629671694264","0.9437738500813904","0.7144495412844036"
"lora_r8_sst2","finished","-","","","2026-04-26T22:23:50.000Z","653","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","8","lora_r8_sst2","[""query"",""value""]","sst2","124942082","887042","lora-replication","0.06","0.01","0.7190366972477065","3","505.77099609375","0.5554372726171997","0.7099625568909601","0.7190366972477065"
"lora_r4_sst2","finished","-","","","2026-04-26T22:12:35.000Z","651","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","4","lora_r4_sst2","[""query"",""value""]","sst2","124794626","739586","lora-replication","0.06","0.01","0.6961009174311926","3","503.04638671875","0.555094751283845","0.5926425068976928","0.6961009174311926"
"lora_r2_sst2","finished","-","","","2026-04-26T22:01:19.000Z","652","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","2","lora_r2_sst2","[""query"",""value""]","sst2","124720898","665858","lora-replication","0.06","0.01","0.713302752293578","3","502.50341796875","0.5781691453236015","0.5338784523504634","0.713302752293578"
"lora_r1_sst2","finished","-","","","2026-04-26T21:50:11.000Z","643","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","1","lora_r1_sst2","[""query"",""value""]","sst2","124684034","628994","lora-replication","0.06","0.01","0.6777522935779816","3","501.36669921875","0.5803219283561525","0.504470363863909","0.6777522935779816"
"lora_dropout_r8_sst2","finished","-","","","2026-04-26T21:38:53.000Z","654","","8","32","3","0.0003","0.05","false","16","128","lora","roberta-base","2","8","lora_dropout_r8_sst2","[""query"",""value""]","sst2","124942082","887042","lora-replication","0.06","0.01","0.7236238532110092","3","505.30419921875","0.5577289653362401","0.7099625568909601","0.7236238532110092"
"lora_plus_r8_sst2","finished","-","","","2026-04-26T21:27:37.000Z","652","","8","32","3","0.0003","0","true","16","128","lora","roberta-base","2","8","lora_plus_r8_sst2","[""query"",""value""]","sst2","124942082","887042","lora-replication","0.06","0.01","0.5091743119266054","3","505.30419921875","0.6853138789145228","0.7099625568909601","0.5080275229357798"
"full_finetune_sst2","finished","-","","","2026-04-26T21:11:26.000Z","947","","","32","3","0.00002","","","","128","full","roberta-base","2","","full_finetune_sst2","","sst2","124647170","124647170","lora-replication","0.06","0.01","0.6158256880733946","3","1983.43603515625","0.653306790924412","100","0.6158256880733946"
"lora_r8_sst2","finished","-","","","2026-04-26T21:00:04.000Z","655","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","8","lora_r8_sst2","[""query"",""value""]","sst2","124942082","887042","lora-replication","0.06","0.01","0.7018348623853211","3","505.30419921875","0.5663863026472848","0.7099625568909601","0.7018348623853211"
"full_finetune_sst2","crashed","-","","","2026-04-26T19:59:27.000Z","46","","","32","3","0.00002","","","","128","full","roberta-base","2","","full_finetune_sst2","","sst2","124647170","124647170","lora-replication","0.06","0.01","","","","","",""
"lora_r8_sst2","killed","-","","","2026-04-26T19:49:17.000Z","585","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","8","lora_r8_sst2","[""query"",""value""]","sst2","124942082","887042","lora-replication","0.06","0.01","","2","506.24169921875","0.5799876474569642","0.7099625568909601","0.7075688073394495"
"lora_r2_sst2","killed","-","","","2026-04-26T19:24:57.000Z","41","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","2","lora_r2_sst2","[""query"",""value""]","sst2","124720898","665858","lora-replication","0.06","0.01","","","","","",""
"lora_r1_sst2","killed","-","","","2026-04-26T19:24:13.000Z","20","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","1","lora_r1_sst2","[""query"",""value""]","sst2","124684034","628994","lora-replication","0.06","0.01","","","","","",""
"lora_r32_sst2","finished","-","","","2026-04-26T02:31:55.000Z","657","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","32","lora_r32_sst2","[""query"",""value""]","sst2","125826818","1771778","lora-replication","0.06","0.01","0.7201834862385321","3","518.80419921875","0.5497478036727588","1.4081084049983683","0.7201834862385321"
"lora_r16_sst2","finished","-","","","2026-04-26T02:20:35.000Z","656","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","16","lora_r16_sst2","[""query"",""value""]","sst2","125236994","1181954","lora-replication","0.06","0.01","0.7029816513761468","3","509.79833984375","0.553583014917487","0.9437738500813904","0.7029816513761468"
"lora_r8_sst2","finished","-","","","2026-04-26T02:09:17.000Z","655","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","8","lora_r8_sst2","[""query"",""value""]","sst2","124942082","887042","lora-replication","0.06","0.01","0.7052752293577982","3","505.30419921875","0.5474055481778188","0.7099625568909601","0.7052752293577982"
"lora_r4_sst2","finished","-","","","2026-04-26T01:57:58.000Z","654","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","4","lora_r4_sst2","[""query"",""value""]","sst2","124794626","739586","lora-replication","0.06","0.01","0.7201834862385321","3","503.05419921875","0.5604041096858344","0.5926425068976928","0.7201834862385321"
"lora_r2_sst2","finished","-","","","2026-04-26T01:46:38.000Z","656","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","2","lora_r2_sst2","[""query"",""value""]","sst2","124720898","665858","lora-replication","0.06","0.01","0.7018348623853211","3","501.92919921875","0.5731475222422221","0.5338784523504634","0.7018348623853211"
"lora_r1_sst2","finished","-","","","2026-04-26T01:35:29.000Z","646","","8","32","3","0.0003","0","false","16","128","lora","roberta-base","2","1","lora_r1_sst2","[""query"",""value""]","sst2","124684034","628994","lora-replication","0.06","0.01","0.7282110091743119","3","501.36669921875","0.5724646866604721","0.504470363863909","0.7282110091743119"
